id,NAME_1,adm1_code,Total Wine Produced,White Wine,Red Wine,PDO wine,PGI wine,Vino wine
1,Veneto,ITA-1,11333,9066,2267,7820,1927,1473
2,Apulia,ITA-2,9771,5179,4592,684,1759,7328
3,Emilia-Romagna,ITA-3,5651,2995,2656,1243,2373,2034
4,Sicily,ITA-4,4344,2476,1868,1216,2302,825
5,Abruzzo,ITA-5,2887,1213,1674,837,289,1761
6,Toscana,ITA-6,2634,342,2292,1659,659,316
7,Piemonte,ITA-7,2569,951,1618,2415,0,154
8,Friuli Venezia Giulia,ITA-8,1595,1228,367,606,463,510
9,Lazio,ITA-9,1421,1037,384,725,384,313
10,Campania,ITA-10,1406,675,731,253,127,1026
11,Lombardia,ITA-11,1303,665,638,678,495,130
12,Trentino-Alto Adige,ITA-12,1146,814,332,1066,69,11
13,Marche,ITA-13,932,494,438,345,177,419
14,Umbria,ITA-14,629,302,327,308,277,44
15,Sardegna,ITA-15,626,313,313,426,94,113
16,Molise,ITA-16,451,131,320,27,54,374
17,Calabria,ITA-17,334,84,251,40,94,200
18,Basilicata,ITA-18,91,18,73,32,26,33
19,Liguria,ITA-19,81,57,24,45,9,28
20,Valle d'Aosta,ITA-20,19,7,12,14,0,5
,,,,,,,
