id,NAME_1,adm1_code,Total Wine Produced,White Wine,Red Wine,PDO wine,PGI wine,Vino wine,Percent White,Percent Red,whitered,Percent PDO,Percent PGI,Percent Vino,quality,
1,Veneto,ITA-1,11333,9066,2267,7820,1927,1473,80,20,80-20,69,17,13,69-17-13,
2,Apulia,ITA-2,9771,5179,4592,684,1759,7328,53,47,53-47,7,18,75,7-18-75,
3,Emilia-Romagna,ITA-3,5651,2995,2656,1243,2373,2034,53,47,53-47,22,42,36,22-42-36,
4,Sicily,ITA-4,4344,2476,1868,1216,2302,825,57,43,57-43,28,53,19,28-53-19,
5,Abruzzo,ITA-5,2887,1213,1674,837,289,1761,42,58,42-58,29,10,61,29-10-61,
6,Toscana,ITA-6,2634,342,2292,1659,659,316,13,87,13-87,63,25,12,63-25-12,
7,Piemonte,ITA-7,2569,951,1618,2415,0,154,37,63,37-63,94,0,6,94-0-6,
8,Friuli Venezia Giulia,ITA-8,1595,1228,367,606,463,510,77,23,77-23,38,29,32,38-29-32,
9,Lazio,ITA-9,1421,1037,384,725,384,313,73,27,73-27,51,27,22,51-27-22,
10,Campania,ITA-10,1406,675,731,253,127,1026,48,52,48-52,18,9,73,18-9-73,
11,Lombardia,ITA-11,1303,665,638,678,495,130,51,49,51-49,52,38,10,52-38-10,
12,Trentino-Alto Adige,ITA-12,1146,814,332,1066,69,11,71,29,71-29,93,6,1,93-6-1,
13,Marche,ITA-13,932,494,438,345,177,419,53,47,53-47,37,19,45,37-19-45,
14,Umbria,ITA-14,629,302,327,308,277,44,48,52,48-52,49,44,7,49-44-7,
15,Sardegna,ITA-15,626,313,313,426,94,113,50,50,50-50,68,15,18,68-15-18,
16,Molise,ITA-16,451,131,320,27,54,374,29,71,29-71,6,12,83,6-12-83,
17,Calabria,ITA-17,334,84,251,40,94,200,25,75,25-75,12,28,60,12-28-60,
18,Basilicata,ITA-18,91,18,73,32,26,33,20,80,20-80,35,29,36,35-29-36,
19,Liguria,ITA-19,81,57,24,45,9,28,70,30,70-30,56,11,35,56-11-35,
20,Valle d'Aosta,ITA-20,19,7,12,14,0,5,37,63,37-63,74,0,26,74-0-26,
